State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Wyoming,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,17.78,45.91,25.16699,54.53099,23.0
Colorado,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,36.67,31.48,44.08356,40.13922,64.0
New Mexico,now-cast,SurveyMonkey,11/1/2016,11/7/2016,40.0,38.0,38.55618,37.36734000000001,33.0
Vermont,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,43.01,12.63,51.183279999999996,22.34692,14.0
Kentucky,now-cast,SurveyMonkey,10/18/2016,10/26/2016,29.0,60.0,27.55193,61.5607,120.0
Minnesota,now-cast,SurveyMonkey,8/9/2016,9/1/2016,41.0,34.0,43.3051,39.64378,87.0
Rhode Island,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,37.65,30.19,45.89203,39.73954000000001,5.0
South Carolina,now-cast,SurveyMonkey,10/24/2016,10/30/2016,42.0,46.0,40.6188,46.49092,46.0
District of Columbia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,88.0,7.0,86.66086999999996,6.444903,1.0
Iowa,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,38.14,29.27,44.93813,38.123290000000004,99.0
Kansas,now-cast,SurveyMonkey,10/26/2016,11/1/2016,37.0,48.0,35.672579999999996,48.254690000000004,105.0
Alaska,now-cast,SurveyMonkey,10/29/2016,11/4/2016,33.0,46.0,31.6869,45.67666,29.0
Rhode Island,now-cast,SurveyMonkey,10/24/2016,10/30/2016,49.0,36.0,47.70402,36.9304,5.0
Connecticut,now-cast,SurveyMonkey,10/26/2016,11/1/2016,51.0,38.0,49.68528,38.2976,8.0
Pennsylvania,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,37.04,32.82,44.56807,42.34735,67.0
Connecticut,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,48.96,27.69,54.62526,36.74548,8.0
Tennessee,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,27.65,43.8,32.98723,51.50282,95.0
North Dakota,now-cast,SurveyMonkey,10/30/2016,11/6/2016,29.0,57.0,27.637009999999997,56.430580000000006,53.0
Rhode Island,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,41.18,23.5,49.5117,33.44294,5.0
Delaware,now-cast,SurveyMonkey,8/9/2016,9/1/2016,43.0,33.0,45.16233,38.399770000000004,3.0
Maine,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,37.56,28.42,45.71958,38.11736,16.0
Hawaii,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,41.35,23.55,49.40088,33.454409999999996,5.0
Minnesota,now-cast,SurveyMonkey,10/28/2016,11/3/2016,47.0,37.0,45.68295,36.81915,87.0
Hawaii,now-cast,SurveyMonkey,8/9/2016,9/1/2016,51.0,25.0,53.488569999999996,30.95738,5.0
Wyoming,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,16.58,51.9,22.22985,60.842769999999994,23.0
Maryland,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,44.15,25.86,51.68745,35.40363,24.0
Iowa,now-cast,SurveyMonkey,10/28/2016,11/3/2016,37.0,47.0,35.68676,46.82606,99.0
Indiana,now-cast,SurveyMonkey,10/27/2016,11/2/2016,36.0,51.0,34.658359999999995,50.96682,92.0
Nevada,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,27.78,35.62,35.49093,44.457679999999996,17.0
West Virginia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,27.0,57.0,25.67256,56.657830000000004,55.0
Utah,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,28.64,34.24,35.40457,43.02278,29.0
South Dakota,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,29.92,41.88,35.27071,49.76567,66.0
Oklahoma,now-cast,SurveyMonkey,10/20/2016,10/28/2016,30.0,57.0,28.563879999999997,58.20275,77.0
Nevada,now-cast,SurveyMonkey,10/24/2016,10/30/2016,43.0,43.0,41.64864,43.64482,17.0
Utah,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,25.94,27.88,33.77867,37.45497,29.0
South Carolina,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,30.53,39.13,37.95473,47.58406,46.0
Georgia,now-cast,SurveyMonkey,8/9/2016,9/1/2016,39.0,40.0,40.9072,44.96368,159.0
Washington,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,41.52,25.56,49.52384,35.03517,39.0
Pennsylvania,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,39.02,38.79,44.35498,46.46226,67.0
Kansas,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,38.59,29.67,44.03337,38.22515,105.0
California,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,40.62,27.65,48.28344,37.412459999999996,58.0
North Dakota,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,20.62,41.81,28.5159,51.97616,53.0
Tennessee,now-cast,SurveyMonkey,10/17/2016,10/25/2016,38.0,49.0,36.555209999999995,50.68748,95.0
Hawaii,now-cast,SurveyMonkey,10/30/2016,11/6/2016,52.0,29.0,50.6398,28.43225,5.0
Arizona,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,40.95,35.97,46.28975,41.489290000000004,15.0
Georgia,now-cast,SurveyMonkey,10/18/2016,10/26/2016,44.0,46.0,42.53629,47.34858,159.0
Rhode Island,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,44.22,18.48,52.37044,29.08823,5.0
California,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,43.37,26.36,51.11007,35.23674000000001,58.0
Minnesota,now-cast,SurveyMonkey,10/24/2016,10/30/2016,47.0,38.0,45.660309999999996,38.70498,87.0
Maine,now-cast,SurveyMonkey,10/20/2016,10/28/2016,51.0,36.0,49.599509999999995,37.58323,16.0
Nebraska,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,27.38,40.91,35.22255999999999,50.15506,93.0
Missouri,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,34.15,30.38,40.12729,39.06653,115.0
Delaware,now-cast,SurveyMonkey,11/1/2016,11/7/2016,50.0,39.0,48.54802,38.36313,3.0
Maine,now-cast,SurveyMonkey,10/26/2016,11/1/2016,49.0,37.0,47.703309999999995,37.35854000000001,16.0
Oregon,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,37.6,30.6,43.05743,37.26685,36.0
Louisiana,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,23.53,49.56,30.98987,58.5469,64.0
Arizona,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,37.46,32.1,45.08501,40.73619,15.0
Arkansas,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,31.49,36.09,36.92052,42.64127,75.0
Massachusetts,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,50.2,22.82,57.21923,32.1379,14.0
Michigan,now-cast,SurveyMonkey,11/1/2016,11/7/2016,44.0,42.0,42.551520000000004,41.364940000000004,83.0
Texas,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,28.76,39.7,36.39029,48.42959000000001,254.0
Nebraska,now-cast,SurveyMonkey,10/18/2016,10/26/2016,32.0,51.0,30.56015,52.672219999999996,93.0
South Carolina,now-cast,SurveyMonkey,10/17/2016,10/25/2016,43.0,45.0,41.540659999999995,46.48317,46.0
Kentucky,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,29.49,41.4,34.92155,47.955709999999996,120.0
Massachusetts,now-cast,SurveyMonkey,10/27/2016,11/2/2016,57.0,29.0,55.72841999999999,29.142409999999998,14.0
Washington,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,45.5,27.99,51.57318,37.06308,39.0
Ohio,now-cast,SurveyMonkey,10/29/2016,11/4/2016,42.0,46.0,40.66404,45.64664000000001,88.0
Florida,now-cast,SurveyMonkey,10/20/2016,10/28/2016,47.0,44.0,45.570370000000004,45.2721,67.0
Washington,now-cast,SurveyMonkey,10/29/2016,11/4/2016,52.0,34.0,50.68865,33.67896,39.0
Georgia,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,27.63,41.69,34.8524,51.08558,159.0
Montana,now-cast,SurveyMonkey,10/24/2016,10/30/2016,38.0,48.0,36.666470000000004,48.73679,56.0
California,now-cast,SurveyMonkey,10/20/2016,10/28/2016,54.0,31.0,52.57464,32.31767,58.0
Florida,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,30.25,43.12,37.79951,51.65765,67.0
South Dakota,now-cast,SurveyMonkey,10/29/2016,11/4/2016,30.0,53.0,28.67853,52.665659999999995,66.0
Oklahoma,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,33.48,41.63,39.4455,50.26902000000001,77.0
Oklahoma,now-cast,SurveyMonkey,10/28/2016,11/3/2016,32.0,56.0,30.65727,55.772769999999994,77.0
Washington,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,43.73,26.69,49.190909999999995,33.37178,39.0
Ohio,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,34.87,35.98,40.49736,44.75832,88.0
Oregon,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,44.09,28.75,51.531209999999994,37.44898,36.0
Georgia,now-cast,SurveyMonkey,10/20/2016,10/28/2016,44.0,45.0,42.55054000000001,46.06027,159.0
Florida,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,30.85,39.89,38.56831,49.27812,67.0
Connecticut,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,43.34,31.95,48.69607,39.90834,8.0
Michigan,now-cast,SurveyMonkey,10/24/2016,10/30/2016,43.0,42.0,41.65064,42.655159999999995,83.0
Oregon,now-cast,SurveyMonkey,10/29/2016,11/4/2016,51.0,35.0,49.68501,34.67418,36.0
Montana,now-cast,SurveyMonkey,10/27/2016,11/2/2016,34.0,51.0,32.690059999999995,51.046279999999996,56.0
Alabama,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,22.51,53.8,28.4016,62.14116,67.0
Oklahoma,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.45,41.34,32.87251,49.656929999999996,77.0
Utah,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,32.77,25.2,38.11862,33.05733,29.0
Michigan,now-cast,SurveyMonkey,10/29/2016,11/4/2016,44.0,42.0,42.66724,41.65084,83.0
District of Columbia,now-cast,SurveyMonkey,10/17/2016,10/25/2016,88.0,5.0,86.59770999999998,7.284416,1.0
Alabama,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,19.55,54.53,26.730659999999997,63.84499,67.0
Pennsylvania,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,37.69,37.29,43.01914,42.80382,67.0
Alabama,now-cast,SurveyMonkey,10/20/2016,10/28/2016,36.0,53.0,34.54714,54.02404,67.0
Arizona,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,37.2,32.28,44.99917,41.79365,15.0
Missouri,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,37.3,35.44,42.63115,40.95485,115.0
Nebraska,now-cast,SurveyMonkey,10/20/2016,10/28/2016,32.0,53.0,30.576629999999998,54.33885,93.0
Pennsylvania,now-cast,SurveyMonkey,11/1/2016,11/7/2016,46.0,43.0,44.54302,42.36056,67.0
Connecticut,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,38.56,26.41,46.5509,35.8667,8.0
Iowa,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,30.38,35.27,38.23669,44.30304,99.0
Minnesota,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,40.71,25.69,48.304520000000004,35.80421,87.0
Alaska,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,18.06,44.22,26.04756,53.67194,29.0
Kansas,now-cast,SurveyMonkey,11/1/2016,11/7/2016,36.0,49.0,34.5558,48.36715,105.0
Alaska,now-cast,SurveyMonkey,10/25/2016,10/31/2016,38.0,46.0,36.673120000000004,46.52133,29.0
New Hampshire,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,32.92,22.15,41.14111,32.31868,10.0
District of Columbia,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,53.62,10.62,58.99134,16.15557,1.0
Illinois,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,42.66,28.26,48.09468,34.82917,102.0
Indiana,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,33.93,36.45,39.259190000000004,41.96385,92.0
Georgia,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,37.71,41.45,43.02702,46.957570000000004,159.0
Delaware,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,37.37,30.62,45.11989000000001,39.73285,3.0
Vermont,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,65.93,10.76,71.62729,20.04976,14.0
Montana,now-cast,SurveyMonkey,10/28/2016,11/3/2016,34.0,53.0,32.68962,52.83121,56.0
Indiana,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,31.89,32.25,39.36251,40.68716,92.0
Vermont,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,48.17,21.49,53.64386,30.393259999999998,14.0
Ohio,now-cast,SurveyMonkey,10/8/2016,10/16/2016,41.0,44.0,39.84124,46.62506,88.0
West Virginia,now-cast,SurveyMonkey,10/27/2016,11/2/2016,27.0,59.0,25.67834,59.0169,55.0
Virginia,now-cast,SurveyMonkey,10/28/2016,11/3/2016,48.0,40.0,46.66008,39.77784000000001,134.0
Iowa,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,34.22,32.63,39.66975,41.25797,99.0
Washington,now-cast,SurveyMonkey,10/30/2016,11/6/2016,51.0,34.0,49.63195,33.42753,39.0
North Dakota,now-cast,SurveyMonkey,10/26/2016,11/1/2016,32.0,54.0,30.692840000000004,54.32317,53.0
Michigan,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,37.61,30.85,44.33145,39.542159999999996,83.0
Mississippi,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,26.97,53.12,34.339220000000005,61.68971,82.0
Wisconsin,now-cast,SurveyMonkey,10/29/2016,11/4/2016,44.0,43.0,42.67556,42.66176,72.0
California,now-cast,SurveyMonkey,9/1/2016,9/8/2016,49.0,29.0,51.34373,33.89975,58.0
New Hampshire,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,28.44,37.61,36.459,46.76042,10.0
North Carolina,now-cast,SurveyMonkey,10/25/2016,10/31/2016,47.0,44.0,45.63201,44.344809999999995,100.0
Minnesota,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,37.2,26.85,44.88225,35.56091,87.0
Massachusetts,now-cast,SurveyMonkey,10/26/2016,11/1/2016,58.0,29.0,56.71946,29.4131,14.0
Maryland,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,46.95,23.56,54.63142,32.57516,24.0
Connecticut,now-cast,SurveyMonkey,10/18/2016,10/26/2016,51.0,36.0,49.56995,37.80508,8.0
Washington,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,43.11,24.38,50.95138,34.45148,39.0
West Virginia,now-cast,SurveyMonkey,10/17/2016,10/25/2016,29.0,61.0,27.56527,62.82879000000001,55.0
Utah,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,21.33,35.05,26.6723,40.5706,29.0
Missouri,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,35.45,31.19,43.153,40.23594,115.0
Hawaii,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,51.35,20.4,57.033269999999995,29.587220000000002,5.0
Kentucky,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,36.44,36.64,43.11031,45.22472,120.0
Minnesota,now-cast,SurveyMonkey,10/26/2016,11/1/2016,47.0,37.0,45.67558,37.26485,87.0
South Dakota,now-cast,SurveyMonkey,10/17/2016,10/25/2016,32.0,52.0,30.569020000000002,53.88144000000001,66.0
West Virginia,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,19.6,48.64,27.41525,58.1786,55.0
Montana,now-cast,SurveyMonkey,10/25/2016,10/31/2016,36.0,49.0,34.67041,49.50967,56.0
North Carolina,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,32.31,39.54,39.70438,47.87518,100.0
Missouri,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,38.89,28.71,46.30936,38.48595,115.0
Florida,now-cast,SurveyMonkey,10/30/2016,11/6/2016,47.0,45.0,45.61023,44.41449,67.0
Maryland,now-cast,SurveyMonkey,10/28/2016,11/3/2016,62.0,27.0,60.65896,26.77582,24.0
Michigan,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,33.6,33.62,39.23259,42.43653,83.0
Arkansas,now-cast,SurveyMonkey,10/27/2016,11/2/2016,36.0,53.0,34.66227,52.97664,75.0
Arizona,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,35.06,26.9,42.74507,36.70001,15.0
Utah,now-cast,SurveyMonkey,10/18/2016,10/26/2016,29.0,32.0,27.5147,33.58913,29.0
South Carolina,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,30.09,39.17,37.32069,48.5816,46.0
Utah,now-cast,SurveyMonkey,10/17/2016,10/25/2016,28.0,33.0,26.5154,34.7276,29.0
Ohio,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,36.04,33.55,42.74393,42.20536,88.0
Nebraska,now-cast,SurveyMonkey,10/24/2016,10/30/2016,33.0,51.0,31.654459999999997,51.67484,93.0
Pennsylvania,now-cast,SurveyMonkey,10/26/2016,11/1/2016,48.0,42.0,46.65113,42.1822,67.0
Nevada,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,36.02,37.99,41.35638,43.50755,17.0
Ohio,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,33.35,35.38,38.787409999999994,41.9609,88.0
North Dakota,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,13.34,63.29,19.431620000000002,72.43739000000002,53.0
Indiana,now-cast,SurveyMonkey,10/20/2016,10/28/2016,36.0,50.0,34.56433,51.2076,92.0
West Virginia,now-cast,SurveyMonkey,10/20/2016,10/28/2016,28.0,61.0,26.57747,62.347919999999995,55.0
Florida,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,36.07,39.16,41.41056,46.90794,67.0
Indiana,now-cast,SurveyMonkey,10/29/2016,11/4/2016,35.0,53.0,33.65298,52.6321,92.0
Rhode Island,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,45.07,32.76,50.5599,41.84636,5.0
Florida,now-cast,SurveyMonkey,10/18/2016,10/26/2016,47.0,44.0,45.55444,45.59467,67.0
Louisiana,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,26.43,45.38,33.85781,53.8382,64.0
Rhode Island,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,46.65,28.26,52.02857,36.52357,5.0
New York,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,41.56,28.23,49.15987,36.83339,62.0
New York,now-cast,SurveyMonkey,10/18/2016,10/26/2016,57.0,32.0,55.55805,33.6437,62.0
Kentucky,now-cast,SurveyMonkey,10/25/2016,10/31/2016,31.0,58.0,29.645429999999998,58.40245,120.0
Washington,now-cast,SurveyMonkey,10/18/2016,10/26/2016,51.0,34.0,49.5708,35.81667,39.0
Minnesota,now-cast,SurveyMonkey,10/25/2016,10/31/2016,46.0,37.0,44.66415,37.48281,87.0
Arizona,now-cast,SurveyMonkey,10/17/2016,10/25/2016,41.0,42.0,39.56416,43.81329,15.0
Maryland,now-cast,SurveyMonkey,10/20/2016,10/28/2016,62.0,27.0,60.56499,28.21463,24.0
Illinois,now-cast,SurveyMonkey,10/17/2016,10/25/2016,52.0,34.0,50.55811,35.7283,102.0
Washington,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,45.72,25.4,51.17671,34.107409999999994,39.0
Mississippi,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,22.04,53.32,27.59607,61.57691,82.0
Massachusetts,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,49.68,22.87,57.39749000000001,31.9664,14.0
South Carolina,now-cast,SurveyMonkey,10/27/2016,11/2/2016,43.0,47.0,41.6384,46.91682,46.0
Illinois,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,34.91,29.27,42.658559999999994,38.38094,102.0
Ohio,now-cast,SurveyMonkey,10/20/2016,10/28/2016,40.0,45.0,38.57176,46.28687,88.0
Idaho,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,25.17,35.94,33.022909999999996,45.53707,44.0
Arkansas,now-cast,SurveyMonkey,10/29/2016,11/4/2016,34.0,55.0,32.65681,54.63714,75.0
Oklahoma,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,24.4,42.18,31.92292,51.6984,77.0
Kentucky,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,32.16,43.82,39.80578,52.57035,120.0
Louisiana,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,25.82,49.54,31.39793,57.956830000000004,64.0
Louisiana,now-cast,SurveyMonkey,10/26/2016,11/1/2016,37.0,51.0,35.63212,51.117979999999996,64.0
District of Columbia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,87.0,6.0,85.72417,5.725615,1.0
Hawaii,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,49.02,27.28,54.48578000000001,36.091,5.0
Wyoming,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.37,46.11,32.81651,54.70103,23.0
Hawaii,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,43.62,28.72,48.97602,34.24767,5.0
Colorado,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,41.46,25.52,47.51153,34.5058,64.0
Montana,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,32.15,36.3,39.58402,44.98865,56.0
