state,type,pollster,startdate,enddate,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump
North Carolina,now-cast,Public Policy Polling,10/31/2016,11/1/2016,49.0,47.0,47.93265,45.98781
Wisconsin,now-cast,Remington,11/1/2016,11/2/2016,49.0,41.0,48.19033,38.92152
Pennsylvania,now-cast,Remington,11/1/2016,11/2/2016,46.0,45.0,45.27345,43.00687
Virginia,now-cast,Christopher Newport University,11/1/2016,11/6/2016,48.0,42.0,48.89658,43.81635
North Carolina,now-cast,Remington,11/1/2016,11/2/2016,45.0,48.0,44.37399,46.1083
Ohio,now-cast,Remington,11/1/2016,11/2/2016,44.0,45.0,42.9932,42.72552
Georgia,now-cast,YouGov,11/3/2016,11/5/2016,43.0,49.0,43.75534,48.97356
Missouri,now-cast,Public Policy Polling,10/31/2016,11/1/2016,37.0,50.0,36.56897,49.62803
New Hampshire,now-cast,Emerson College,11/4/2016,11/5/2016,45.4,43.8,45.41758,41.68962
Arizona,now-cast,Gravis Marketing,11/3/2016,11/6/2016,43.0,45.0,42.93639,44.38242
U.S.,now-cast,CVOTER International,10/31/2016,11/6/2016,48.91,46.13,47.03643,41.93304000000001
Florida,now-cast,Remington,11/1/2016,11/2/2016,45.0,48.0,44.83015,46.56268
Pennsylvania,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,44.0,46.83252,42.89052
U.S.,now-cast,Morning Consult,11/4/2016,11/5/2016,45.0,42.0,46.22819000000001,43.29488
Pennsylvania,now-cast,YouGov,11/3/2016,11/5/2016,45.0,43.0,45.76747,42.9798
Nevada,now-cast,Gravis Marketing,11/3/2016,11/6/2016,45.0,43.0,43.60592000000001,40.44767
Colorado,now-cast,Gravis Marketing,11/3/2016,11/6/2016,44.0,43.0,43.93961,42.38405
Florida,now-cast,YouGov,11/2/2016,11/4/2016,45.0,45.0,47.04525,46.84944
U.S.,now-cast,SurveyMonkey,10/31/2016,11/6/2016,47.0,41.0,45.61232,40.41574
Wisconsin,now-cast,Clarity Campaign Labs,11/1/2016,11/2/2016,47.0,43.0,47.81342,42.95495
Ohio,now-cast,Emerson College,11/4/2016,11/5/2016,38.9,45.6,38.90148,43.48147
New Hampshire,now-cast,University of New Hampshire,11/3/2016,11/6/2016,49.0,38.0,48.77016,39.15198
Pennsylvania,now-cast,Clarity Campaign Labs,11/1/2016,11/4/2016,47.0,43.0,47.75366,42.8364
U.S.,now-cast,Pew Research Center,10/20/2016,10/25/2016,46.0,40.0,45.58611,42.57237
Florida,now-cast,SurveyUSA,10/20/2016,10/24/2016,48.0,45.0,46.87209,45.87545
California,now-cast,YouGov,10/25/2016,10/31/2016,53.0,33.0,53.87985,34.0645
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,45.0,43.0,45.4776,43.17058
Colorado,now-cast,Remington,11/1/2016,11/2/2016,42.0,41.0,40.18504,37.91566
New York,now-cast,Siena College,11/3/2016,11/4/2016,51.0,34.0,51.34944,35.033770000000004
Nevada,now-cast,Remington,11/1/2016,11/2/2016,45.0,46.0,43.82519,43.5574
Pennsylvania,now-cast,Gravis Marketing,11/3/2016,11/6/2016,46.0,40.0,45.93093,39.37966
Arizona,now-cast,Marist College,10/30/2016,11/1/2016,40.0,45.0,38.67133,45.72822
Missouri,now-cast,Clarity Campaign Labs,11/1/2016,11/2/2016,38.0,54.0,37.6443,52.78773
Wisconsin,now-cast,Gravis Marketing,11/3/2016,11/6/2016,47.0,44.0,46.93784,43.38316
Washington,now-cast,SurveyUSA,10/31/2016,11/2/2016,50.0,38.0,49.00631,36.95973
Virginia,now-cast,Gravis Marketing,11/1/2016,11/4/2016,47.0,42.0,47.06984,41.47081
Wisconsin,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,41.0,46.75041,39.81551
California,now-cast,Greenberg Quinlan Rosner/American Viewpoint,10/22/2016,10/30/2016,54.0,30.0,54.30476,31.54165
Georgia,now-cast,Marist College,10/30/2016,11/1/2016,44.0,45.0,42.63222,45.65755
California,now-cast,SurveyUSA,10/28/2016,10/31/2016,56.0,35.0,54.99168,34.28688
Florida,now-cast,SurveyMonkey,11/1/2016,11/7/2016,47.0,45.0,45.5484,44.36333
Texas,now-cast,Marist College,10/30/2016,11/1/2016,40.0,49.0,38.65643,49.70131
Missouri,now-cast,Remington,10/31/2016,11/1/2016,39.0,52.0,38.987,50.83235
Arizona,now-cast,Saguaro Strategies,10/29/2016,10/31/2016,45.0,44.0,43.41242,43.85367
Utah,now-cast,YouGov,11/3/2016,11/5/2016,23.0,40.0,23.78063,39.98659
Colorado,now-cast,Public Policy Polling,11/3/2016,11/4/2016,48.0,43.0,47.47256,42.36083
Virginia,now-cast,Hampton University,11/2/2016,11/6/2016,45.0,41.0,45.7419,40.1996
Utah,now-cast,Emerson College,10/31/2016,11/2/2016,19.6,39.8,19.79649,37.99446
North Carolina,now-cast,SurveyMonkey,11/1/2016,11/7/2016,48.0,41.0,46.53767,40.3578
Texas,now-cast,SurveyMonkey,11/1/2016,11/7/2016,43.0,46.0,41.54497,45.36156
Michigan,now-cast,SurveyMonkey,11/1/2016,11/7/2016,44.0,42.0,42.55152,41.36494
North Carolina,now-cast,Gravis Marketing,11/1/2016,11/4/2016,46.0,45.0,46.06071,44.46533
Missouri,now-cast,Emerson College,11/4/2016,11/5/2016,40.5,46.5,40.49911,44.38027
U.S.,now-cast,Insights West,11/4/2016,11/7/2016,49.0,45.0,49.38208,45.35867
Ohio,now-cast,SurveyMonkey,11/1/2016,11/7/2016,42.0,45.0,40.54963,44.36396
Pennsylvania,now-cast,SurveyMonkey,11/1/2016,11/7/2016,46.0,43.0,44.54302,42.36056
Pennsylvania,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,48.0,44.0,47.20349,42.21874
Colorado,now-cast,SurveyMonkey,11/1/2016,11/7/2016,43.0,40.0,41.55986,39.36924000000001
New Mexico,now-cast,Gravis Marketing,11/1/2016,11/2/2016,45.0,37.0,45.12741,36.58792
California,now-cast,SurveyMonkey,11/1/2016,11/7/2016,56.0,31.0,54.55217,30.36527
Nevada,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,43.0,49.0,42.21596,47.25
Arizona,now-cast,SurveyMonkey,11/1/2016,11/7/2016,45.0,42.0,43.55363,41.36602
Georgia,now-cast,Trafalgar Group,11/6/2016,11/6/2016,45.11,51.58,44.74571,48.65303
Arizona,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,44.0,49.0,43.22177,47.26456
New Hampshire,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,43.0,45.84086,40.91891
Georgia,now-cast,SurveyMonkey,11/1/2016,11/7/2016,45.0,45.0,43.5309,44.35431
Michigan,now-cast,Trafalgar Group,11/6/2016,11/6/2016,46.82,48.52,46.45571,45.59303
Florida,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,49.0,47.0,48.21276,45.24199
U.S.,now-cast,RAND (American Life Panel),10/20/2016,11/1/2016,43.7,34.6,42.73144,38.44606
Utah,now-cast,Gravis Marketing,10/30/2016,10/31/2016,29.0,35.0,29.13106,34.83912
Wisconsin,now-cast,SurveyMonkey,11/1/2016,11/7/2016,44.0,42.0,42.55644,41.36747
Virginia,now-cast,SurveyMonkey,11/1/2016,11/7/2016,49.0,41.0,47.5443,40.36122
Florida,now-cast,Gravis Marketing,11/1/2016,11/2/2016,46.0,45.0,46.11487,44.57666
New York,now-cast,SurveyMonkey,11/1/2016,11/7/2016,57.0,32.0,55.55189,31.36513
North Carolina,now-cast,SurveyUSA,10/28/2016,10/31/2016,44.0,51.0,42.26065,49.51819
Michigan,now-cast,Gravis Marketing,11/1/2016,11/4/2016,46.0,41.0,46.07977,40.47677
Florida,now-cast,Trafalgar Group,11/6/2016,11/6/2016,46.13,49.72,45.76571,46.79303
North Carolina,now-cast,Marist College,10/25/2016,10/26/2016,47.0,41.0,45.61544,42.67081
Florida,now-cast,Siena College,10/25/2016,10/27/2016,42.0,46.0,42.43429,48.52064
Utah,now-cast,Trafalgar Group,11/3/2016,11/5/2016,29.52,39.95,29.32823,37.11196
Florida,now-cast,Marist College,10/25/2016,10/26/2016,45.0,44.0,43.63194,45.77339
Illinois,now-cast,SurveyMonkey,11/1/2016,11/7/2016,52.0,35.0,50.54793,34.36309
Iowa,now-cast,RABA Research,11/1/2016,11/2/2016,41.0,44.0,41.74863,44.88503
Pennsylvania,now-cast,Trafalgar Group,11/3/2016,11/5/2016,46.51,48.43,46.30506,45.58518
Iowa,now-cast,SurveyMonkey,11/1/2016,11/7/2016,38.0,47.0,36.55981,46.36921
Indiana,now-cast,SurveyMonkey,11/1/2016,11/7/2016,35.0,52.0,33.54308,51.36058
South Carolina,now-cast,SurveyMonkey,11/1/2016,11/7/2016,43.0,47.0,41.53149000000001,46.35461
Florida,now-cast,Selzer & Company,10/21/2016,10/24/2016,43.0,45.0,43.2967,46.69683
U.S.,now-cast,GfK Group,10/20/2016,10/24/2016,51.0,37.0,50.60097,39.86363
Nevada,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,45.0,46.3848,43.44663
Michigan,now-cast,EPIC-MRA,11/1/2016,11/3/2016,42.0,38.0,43.58539,39.35814
Oregon,now-cast,SurveyMonkey,11/1/2016,11/7/2016,50.0,35.0,48.56203,34.37036
Pennsylvania,now-cast,Siena College,10/23/2016,10/25/2016,46.0,39.0,46.36182,41.8756
Nevada,now-cast,Emerson College,11/4/2016,11/5/2016,46.8,45.6,46.8018,43.48163
Missouri,now-cast,BK Strategies,10/27/2016,10/28/2016,39.0,53.0,38.31548,51.30598
Utah,now-cast,SurveyMonkey,11/1/2016,11/7/2016,31.0,34.0,29.55618,33.36734000000001
New Hampshire,now-cast,Gravis Marketing,11/1/2016,11/2/2016,41.0,43.0,41.16734,42.62373
California,now-cast,Public Policy Institute of California,10/14/2016,10/23/2016,54.0,28.0,55.99313000000001,30.1221
Ohio,now-cast,Columbus Dispatch,10/27/2016,11/5/2016,48.0,47.0,46.04775,45.69439000000001
Tennessee,now-cast,SurveyMonkey,11/1/2016,11/7/2016,41.0,49.0,39.5452,48.36168
Washington,now-cast,SurveyMonkey,11/1/2016,11/7/2016,51.0,33.0,49.56419,32.37147
Colorado,now-cast,YouGov,10/26/2016,10/28/2016,42.0,39.0,42.88837,40.34286
Arizona,now-cast,YouGov,10/26/2016,10/28/2016,42.0,44.0,42.87845,45.29172
Iowa,now-cast,Emerson College,11/1/2016,11/3/2016,41.0,44.0,41.20044,42.09328
North Carolina,now-cast,YouGov,10/26/2016,10/28/2016,48.0,45.0,48.85305,46.16077
Connecticut,now-cast,SurveyMonkey,11/1/2016,11/7/2016,52.0,36.0,50.56337,35.37104
Massachusetts,now-cast,SurveyMonkey,11/1/2016,11/7/2016,56.0,30.0,54.58373,29.38155
New Jersey,now-cast,SurveyMonkey,11/1/2016,11/7/2016,52.0,37.0,50.55473,36.36659
Colorado,now-cast,"Keating Research, Inc.",11/2/2016,11/3/2016,43.0,38.0,42.93507,39.13824
Missouri,now-cast,SurveyMonkey,11/1/2016,11/7/2016,40.0,48.0,38.54503,47.36159
Kansas,now-cast,SurveyUSA,10/26/2016,10/30/2016,38.0,49.0,36.97892,48.75118
Kentucky,now-cast,SurveyMonkey,11/1/2016,11/7/2016,35.0,54.0,33.54599,53.36208000000001
Kansas,now-cast,SurveyMonkey,11/1/2016,11/7/2016,36.0,49.0,34.5558,48.36715
U.S.,now-cast,Fox News/Anderson Robbins Research/Shaw & Company Research,11/1/2016,11/3/2016,45.5,44.0,46.73374,44.07416
Minnesota,now-cast,SurveyMonkey,11/1/2016,11/7/2016,46.0,39.0,44.55759000000001,38.36807
Florida,now-cast,Opinion Savvy/InsiderAdvantage,11/5/2016,11/6/2016,48.4,46.4,47.53599000000001,45.8096
Oklahoma,now-cast,SurveyMonkey,11/1/2016,11/7/2016,32.0,57.0,30.54268,56.360380000000006
New Mexico,now-cast,"Research & Polling, Inc.",11/1/2016,11/3/2016,45.0,40.0,45.88651,40.17503
Nevada,now-cast,Trafalgar Group,11/1/2016,11/4/2016,45.01,49.61,44.87482,46.82064
Texas,now-cast,Emerson College,10/31/2016,11/2/2016,34.5,49.2,34.68858,47.39611
Pennsylvania,now-cast,Quinnipiac University,10/27/2016,11/1/2016,48.0,43.0,48.55542,42.60515
Maryland,now-cast,SurveyMonkey,11/1/2016,11/7/2016,59.0,28.0,57.54366,27.36088
Nevada,now-cast,SurveyMonkey,11/1/2016,11/7/2016,45.0,43.0,43.55026,42.36429
New Hampshire,now-cast,University of Massachusetts Lowell,10/28/2016,11/2/2016,44.0,44.0,44.64148,44.25513
Arizona,now-cast,The Times-Picayune/Lucid,10/28/2016,11/1/2016,41.0,42.0,41.43441,44.97258
Ohio,now-cast,TargetSmart/William & Mary,10/31/2016,11/3/2016,40.0,43.0,40.17032,44.47387
Colorado,now-cast,Trafalgar Group,10/31/2016,11/3/2016,44.77,44.33,44.69017,41.65818
Indiana,now-cast,Public Opinion Strategies,11/1/2016,11/3/2016,37.0,48.0,37.37743,49.45787
Alabama,now-cast,SurveyMonkey,11/1/2016,11/7/2016,36.0,55.0,34.52791,54.35276
Ohio,now-cast,Quinnipiac University,10/27/2016,11/1/2016,41.0,46.0,41.5668,45.63366
Virginia,now-cast,Emerson College,10/28/2016,10/30/2016,49.0,45.0,49.18567,43.74928
Pennsylvania,now-cast,"Susquehanna Polling & Research, Inc.",10/31/2016,11/1/2016,45.0,43.0,45.46416,43.6171
Colorado,now-cast,Emerson College,10/28/2016,10/31/2016,44.0,41.0,44.21969,39.59914000000001
New Hampshire,now-cast,Marist College,10/20/2016,10/24/2016,45.0,36.0,43.58333,38.97304000000001
New Jersey,now-cast,Stockton College,10/27/2016,11/2/2016,51.0,40.0,51.15983,39.75173
Nebraska,now-cast,SurveyMonkey,11/1/2016,11/7/2016,35.0,52.0,33.55392,51.36617
Louisiana,now-cast,SurveyMonkey,11/1/2016,11/7/2016,38.0,52.0,36.5317,51.35472
Maine,now-cast,Emerson College,10/28/2016,10/30/2016,46.0,42.0,46.2357,40.91833
Iowa,now-cast,Quinnipiac University,10/20/2016,10/26/2016,44.0,44.0,44.46257,45.23578
Colorado,now-cast,The Times-Picayune/Lucid,10/28/2016,11/1/2016,44.0,37.0,44.44516,39.9995
Virginia,now-cast,Winthrop University,10/23/2016,10/30/2016,44.0,39.0,44.78788,41.16042
Pennsylvania,now-cast,Franklin & Marshall College,10/26/2016,10/30/2016,49.0,38.0,48.7482,40.7122
Arizona,now-cast,Emerson College,10/28/2016,10/31/2016,43.0,47.0,43.20894000000001,45.57221
Minnesota,now-cast,SurveyUSA,10/22/2016,10/26/2016,49.0,39.0,47.89844,39.66408
Arkansas,now-cast,SurveyMonkey,11/1/2016,11/7/2016,32.0,56.0,30.54535,55.36176
Texas,now-cast,Dixie Strategies,10/27/2016,10/29/2016,39.39,51.53,40.0686,51.50863
Alaska,now-cast,Gravis Marketing,11/3/2016,11/6/2016,41.0,44.0,40.9413,43.38491
Virginia,now-cast,Quinnipiac University,10/20/2016,10/26/2016,50.0,38.0,50.44657,39.0316
Nevada,now-cast,The Times-Picayune/Lucid,10/28/2016,11/1/2016,45.0,38.0,45.4286,40.95802
Nevada,now-cast,Marist College,10/20/2016,10/24/2016,43.0,43.0,41.55157,45.54214
Texas,now-cast,YouGov,10/21/2016,10/22/2016,43.0,46.0,43.77533,48.16567
Florida,now-cast,University of North Florida,10/20/2016,10/25/2016,43.0,39.0,44.42868,42.82852000000001
Arizona,now-cast,Data Orbital,11/4/2016,11/6/2016,44.0,47.0,44.59218,46.71708
Kentucky,now-cast,Cygnal Political,10/26/2016,10/28/2016,32.0,56.0,32.07512,55.25824
U.S.,now-cast,Suffolk University,10/20/2016,10/24/2016,47.4,37.6,47.58755,39.98621
Florida,now-cast,Public Policy Polling,10/25/2016,10/26/2016,48.0,44.0,47.08155,44.37571
New Hampshire,now-cast,MassINC Polling Group,10/29/2016,11/1/2016,39.0,40.0,39.49924,40.87957
Utah,now-cast,Monmouth University,10/30/2016,11/2/2016,31.0,37.0,29.96991,36.69474
Georgia,now-cast,Emerson College,10/28/2016,10/31/2016,42.0,51.0,42.16977,49.47405
North Carolina,now-cast,Trafalgar Group,10/27/2016,11/1/2016,44.16,49.13,44.06108,46.86808
Pennsylvania,now-cast,Muhlenberg College,10/30/2016,11/4/2016,44.0,40.0,45.46445,41.87228
U.S.,now-cast,Quinnipiac University,10/17/2016,10/18/2016,47.0,40.0,47.51327,41.8077
Georgia,now-cast,SurveyUSA,10/25/2016,10/27/2016,42.0,49.0,42.25624000000001,50.89946
Vermont,now-cast,"Political Marketing International, Inc./Red Racing Horses",10/24/2016,10/26/2016,52.0,26.0,51.23164000000001,27.44156
South Carolina,now-cast,Starboard Communications,10/30/2016,10/31/2016,36.0,47.0,37.15122,46.99748
U.S.,now-cast,Public Policy Polling,10/20/2016,10/21/2016,46.0,40.0,45.47291,41.7495
Maine,now-cast,SurveyMonkey,11/1/2016,11/7/2016,46.0,38.0,44.57411,37.37658
New Hampshire,now-cast,Suffolk University,10/31/2016,11/2/2016,41.8,42.2,42.14843,42.6863
Pennsylvania,now-cast,Harper Polling,11/2/2016,11/3/2016,46.0,46.0,45.62211,45.65585
Michigan,now-cast,Mitchell Research & Communications,11/6/2016,11/6/2016,47.0,41.0,45.42407,39.71012
U.S.,now-cast,CNN/Opinion Research Corp.,10/20/2016,10/23/2016,49.0,44.0,48.10123,43.8681
Idaho,now-cast,Emerson College,10/21/2016,10/23/2016,23.0,52.0,21.06908,50.25003
North Carolina,now-cast,Elon University,10/23/2016,10/27/2016,42.0,41.2,42.37309000000001,43.79011
New Mexico,now-cast,SurveyMonkey,11/1/2016,11/7/2016,40.0,38.0,38.55618,37.36734000000001
Michigan,now-cast,Strategic National,11/3/2016,11/3/2016,44.0,44.0,44.44694000000001,42.6526
Pennsylvania,now-cast,Monmouth University,10/29/2016,11/1/2016,48.0,44.0,46.96368,43.83392
Utah,now-cast,Rasmussen Reports/Pulse Opinion Research,10/29/2016,10/31/2016,31.0,42.0,31.59025,42.78571
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,44.0,46.0,44.47071,46.16703
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,44.0,43.0,44.47731,43.17043
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,49.0,43.0,49.46535,43.16427
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,44.0,44.0,44.47794,44.17076
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,46.0,40.0,46.50859000000001,40.18656
Georgia,now-cast,Quinnipiac University,10/20/2016,10/26/2016,43.0,44.0,43.43274,44.85516
Mississippi,now-cast,SurveyMonkey,11/1/2016,11/7/2016,42.0,50.0,40.52377,49.35063
U.S.,now-cast,Selzer & Company,10/14/2016,10/17/2016,47.0,38.0,47.41606,40.6499
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,47.0,45.0,47.47609,45.1698
Georgia,now-cast,Time/Abt SRBI,10/17/2016,10/20/2016,42.0,44.0,42.31744000000001,47.12248
New Hampshire,now-cast,SurveyMonkey,11/1/2016,11/7/2016,47.0,38.0,45.58091,37.38008
Missouri,now-cast,Monmouth University,10/28/2016,10/31/2016,38.0,52.0,36.96754,52.03534000000001
Iowa,now-cast,Loras College,11/1/2016,11/3/2016,44.2,43.4,45.05723,44.48302
Maine,now-cast,University of New Hampshire,10/20/2016,10/25/2016,48.0,37.0,47.86515,40.60761
New Hampshire,now-cast,American Research Group,10/31/2016,11/2/2016,43.0,48.0,40.6348,44.56794
Virginia,now-cast,Roanoke College,10/29/2016,11/1/2016,45.0,38.0,44.92306,40.00589
Missouri,now-cast,"Mason-Dixon Polling & Research, Inc.",10/24/2016,10/26/2016,42.0,47.0,40.87522,48.38695
North Carolina,now-cast,Emerson College,10/26/2016,10/27/2016,48.0,45.0,48.161,44.10132
U.S.,now-cast,Greenberg Quinlan Rosner (Democracy Corps),10/21/2016,10/24/2016,50.0,38.0,49.08141,40.49432
Colorado,now-cast,University of Denver,10/29/2016,10/31/2016,39.0,39.0,40.56307,40.02843
Indiana,now-cast,Monmouth University,10/27/2016,10/30/2016,39.0,50.0,37.95703,50.24257
Idaho,now-cast,SurveyMonkey,11/1/2016,11/7/2016,29.0,47.0,27.5571,46.36782
Wisconsin,now-cast,Loras College,10/31/2016,11/1/2016,43.9,37.9,44.76474,39.1113
Utah,now-cast,Y2 Analytics,11/1/2016,11/3/2016,24.0,33.0,25.37303,35.57558
U.S.,now-cast,Saint Leo University,10/22/2016,10/26/2016,46.05,34.95,44.70166,39.29126
Florida,now-cast,Saint Leo University,10/22/2016,10/26/2016,50.4,36.95,49.04995,41.27294000000001
Missouri,now-cast,DFM Research,10/27/2016,11/1/2016,38.0,47.0,37.75616,48.61004000000001
Kentucky,now-cast,Google Consumer Surveys,10/26/2016,10/28/2016,24.8,38.2,31.09015,46.76224000000001
Florida,now-cast,TargetSmart/William & Mary,10/25/2016,10/30/2016,48.0,40.0,48.16806,42.37432
Illinois,now-cast,Victory Research,10/16/2016,10/18/2016,51.2,36.1,50.57755,37.62995
Washington,now-cast,Insights West,11/4/2016,11/6/2016,51.0,36.0,51.47499000000001,36.40573
California,now-cast,Insights West,11/4/2016,11/6/2016,58.0,35.0,58.4688,35.4026
Georgia,now-cast,Opinion Savvy/InsiderAdvantage,11/2/2016,11/3/2016,44.7,48.5,44.03848,48.03123
Arizona,now-cast,Insights West,11/4/2016,11/6/2016,45.0,47.0,45.46955,47.40298
Colorado,now-cast,Magellan Strategies,11/1/2016,11/2/2016,44.1,37.6,43.64336,37.29177
Illinois,now-cast,Emerson College,10/27/2016,10/30/2016,53.0,41.0,53.19176,39.76984
Arkansas,now-cast,University of Arkansas,10/18/2016,10/25/2016,31.3,51.1,31.07076,52.11427
Ohio,now-cast,Trafalgar Group,10/24/2016,10/26/2016,44.15,48.54,44.00887,47.42719
Nevada,now-cast,JMC Enterprises,10/28/2016,11/1/2016,45.0,45.0,45.1904,45.80051
Nevada,now-cast,Bendixen & Amandi International,10/20/2016,10/23/2016,48.0,41.0,47.16244,43.16212
Illinois,now-cast,Loras College,10/26/2016,10/27/2016,45.0,34.0,45.83413,36.17527000000001
New Mexico,now-cast,The Times-Picayune/Lucid,10/28/2016,11/1/2016,39.0,31.0,39.4388,33.98357
Nevada,now-cast,Insights West,11/4/2016,11/6/2016,42.0,42.0,42.46782,42.4021
Oregon,now-cast,"Davis, Hibbitts & Midghall, Inc.",10/25/2016,10/29/2016,41.0,34.0,42.85667,36.6034
Florida,now-cast,Associated Industries of Florida,10/19/2016,10/19/2016,44.0,41.0,44.35984000000001,45.27408
Kentucky,now-cast,Western Kentucky University,10/25/2016,10/30/2016,37.0,54.0,36.31522,54.37144
Florida,now-cast,Dixie Strategies,10/25/2016,10/26/2016,42.4,45.7,42.60366,45.66733
Minnesota,now-cast,"Mason-Dixon Polling & Research, Inc.",10/20/2016,10/22/2016,47.0,39.0,45.84295,41.21701
Texas,now-cast,Crosswind Media & Public Relations,10/22/2016,10/24/2016,38.0,45.0,38.00551,46.964
U.S.,now-cast,SurveyUSA,10/11/2016,10/14/2016,46.0,36.0,45.11208,37.87549
Utah,now-cast,Dan Jones & Associates,10/20/2016,10/27/2016,24.0,32.0,23.33986,33.53805
Massachusetts,now-cast,Western New England University,10/23/2016,11/2/2016,56.0,26.0,54.47516,28.058770000000006
West Virginia,now-cast,SurveyMonkey,11/1/2016,11/7/2016,29.0,56.0,27.55467,55.36656
South Dakota,now-cast,Remington,10/19/2016,10/21/2016,37.0,48.0,36.91095,49.23138
Pennsylvania,now-cast,Emerson College,10/25/2016,10/26/2016,48.0,43.0,48.16086,42.36038
South Dakota,now-cast,SurveyMonkey,11/1/2016,11/7/2016,32.0,53.0,30.5582,52.36838
Vermont,now-cast,SurveyMonkey,11/1/2016,11/7/2016,61.0,25.0,59.57499,24.37704
