State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Kentucky,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,31.9,43.89,37.23211,49.40535,120
Vermont,now-cast,Braun Research,10/19/2016,10/22/2016,50.0,22.0,49.87583,25.162,14
Illinois,now-cast,SurveyMonkey,10/29/2016,11/4/2016,53.0,36.0,51.66118,35.64288,102
Nebraska,now-cast,Emerson College,9/25/2016,9/26/2016,29.3,55.7,31.18643,56.717830000000006,93
Missouri,now-cast,Ipsos,10/24/2016,11/6/2016,39.73,48.01,38.67257,47.01657,115
Texas,now-cast,SurveyMonkey,10/8/2016,10/16/2016,42.0,44.0,40.82841,46.53125,254
Florida,now-cast,Associated Industries of Florida,4/25/2016,4/27/2016,49.0,36.0,48.90081,39.87553,67
Iowa,now-cast,SurveyMonkey,10/18/2016,10/26/2016,41.0,44.0,39.56627,45.75511,99
New Mexico,now-cast,SurveyMonkey,10/27/2016,11/2/2016,40.0,35.0,38.68093,35.0234,33
Nebraska CD-1,now-cast,Emerson College,9/25/2016,9/26/2016,29.0,53.0,27.48652,50.59451,
North Carolina,now-cast,Quinnipiac University,8/29/2016,9/7/2016,42.0,38.0,44.69843,40.36628,100
Wyoming,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,17.78,45.91,25.16699,54.53099,23
Colorado,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,36.67,31.48,44.08356,40.13922,64
New Hampshire,now-cast,University of New Hampshire,10/27/2016,10/30/2016,46.0,40.0,45.99968,42.21922,10
South Carolina,now-cast,Ipsos,8/5/2016,8/25/2016,45.82,45.72,45.73008,47.33552,46
New Mexico,now-cast,SurveyMonkey,11/1/2016,11/7/2016,40.0,38.0,38.55618,37.36734000000001,33
Utah,now-cast,Trafalgar Group,11/3/2016,11/5/2016,29.52,39.95,29.32823,37.11196,29
New York,now-cast,Fox News/Anderson Robbins Research/Shaw & Company Research,4/4/2016,4/7/2016,53.0,37.0,52.82766,39.07306,62
Vermont,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,43.01,12.63,51.18328,22.34692,14
New Hampshire,now-cast,Ipsos,9/16/2016,10/6/2016,49.45,39.51,48.51664,39.81754,10
Kentucky,now-cast,SurveyMonkey,10/18/2016,10/26/2016,29.0,60.0,27.55193,61.5607,120
Minnesota,now-cast,SurveyMonkey,8/9/2016,9/1/2016,41.0,34.0,43.3051,39.64378,87
Minnesota,now-cast,Ipsos,8/19/2016,9/1/2016,41.97,32.95,41.37086,33.72953,87
Rhode Island,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,37.65,30.19,45.89203,39.73954000000001,5
South Dakota,now-cast,Ipsos,9/2/2016,9/22/2016,28.31,51.61,27.23619,51.22842,66
Maine CD-1,now-cast,Maine People's Resource Center,10/24/2016,10/26/2016,44.9,33.4,46.11254,35.60985,
South Carolina,now-cast,SurveyMonkey,10/24/2016,10/30/2016,42.0,46.0,40.6188,46.49092,46
District of Columbia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,88.0,7.0,86.66086999999997,6.444903,1
Florida,now-cast,Florida Atlantic University,8/19/2016,8/22/2016,41.0,43.0,43.93939,46.19499,67
Iowa,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,38.14,29.27,44.93813,38.12329,99
Maine CD-1,now-cast,University of New Hampshire,6/15/2016,6/21/2016,48.0,33.0,48.15616,36.47904000000001,
Kansas,now-cast,SurveyMonkey,10/26/2016,11/1/2016,37.0,48.0,35.67258,48.25469,105
Alaska,now-cast,SurveyMonkey,10/29/2016,11/4/2016,33.0,46.0,31.6869,45.67666,29
Rhode Island,now-cast,SurveyMonkey,10/24/2016,10/30/2016,49.0,36.0,47.70402,36.9304,5
Colorado,now-cast,Emerson College,9/9/2016,9/13/2016,38.0,42.0,40.58758,43.39288,64
Connecticut,now-cast,SurveyMonkey,10/26/2016,11/1/2016,51.0,38.0,49.68528,38.2976,8
Pennsylvania,now-cast,Muhlenberg College,9/19/2016,9/23/2016,40.0,38.0,43.42574000000001,42.53369,67
Pennsylvania,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,37.04,32.82,44.56807,42.34735,67
Missouri,now-cast,Ipsos,9/23/2016,10/6/2016,37.05,48.7,36.00743,49.14017,115
Iowa,now-cast,RABA Research,11/1/2016,11/2/2016,41.0,44.0,41.74863,44.88503,99
Utah,now-cast,Monmouth University,10/10/2016,10/12/2016,28.0,34.0,27.14237,36.61366,29
Connecticut,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,48.96,27.69,54.62526,36.74548,8
North Carolina,now-cast,Public Policy Polling,10/31/2016,11/1/2016,49.0,47.0,47.93265,45.98781,100
Oregon,now-cast,Clout Research/Wenzel Strategies,5/10/2016,5/13/2016,42.0,44.0,41.83857,43.95723,36
Ohio,now-cast,Ipsos,9/30/2016,10/6/2016,46.21,42.56,45.11523,43.40203,88
Tennessee,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,27.65,43.8,32.98723,51.50282,95
North Dakota,now-cast,SurveyMonkey,10/30/2016,11/6/2016,29.0,57.0,27.63701,56.430580000000006,53
Wisconsin,now-cast,Gravis Marketing,11/3/2016,11/6/2016,47.0,44.0,46.93784,43.38316,72
Rhode Island,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,41.18,23.5,49.5117,33.44294,5
New York,now-cast,Ipsos,8/26/2016,9/1/2016,50.0,28.47,50.46563,30.12075,62
Delaware,now-cast,SurveyMonkey,8/9/2016,9/1/2016,43.0,33.0,45.16233,38.39977,3
Maine,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,37.56,28.42,45.71958,38.11736,16
Illinois,now-cast,"Political Callers, Inc.",6/7/2016,6/7/2016,48.3,29.5,50.7211,34.19449,102
Louisiana,now-cast,YouGov,10/4/2016,11/6/2016,35.9,47.3,36.66532,49.40543,64
Delaware,now-cast,Ipsos,10/20/2016,11/3/2016,44.71,33.84,43.63046,33.68705,3
Virginia,now-cast,Evolving Strategies,6/10/2016,6/22/2016,43.0,35.0,44.93618,41.59817,134
Hawaii,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,41.35,23.55,49.40088,33.45441,5
Minnesota,now-cast,SurveyMonkey,10/28/2016,11/3/2016,47.0,37.0,45.68295,36.81915,87
Virginia,now-cast,Roanoke College,11/9/2015,11/13/2015,50.0,36.0,49.71022,37.9378,134
Ohio,now-cast,Ipsos,8/26/2016,9/1/2016,43.1,45.95,42.91228,46.92928,88
Hawaii,now-cast,SurveyMonkey,8/9/2016,9/1/2016,51.0,25.0,53.48857,30.95738,5
Colorado,now-cast,Quinnipiac University,9/13/2016,9/21/2016,44.0,42.0,46.82611,44.23904,64
Wyoming,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,16.58,51.9,22.22985,60.84277,23
Nevada,now-cast,Marist College,10/20/2016,10/24/2016,43.0,43.0,41.55157,45.54214,17
Minnesota,now-cast,"Mason-Dixon Polling & Research, Inc.",10/20/2016,10/22/2016,47.0,39.0,45.84295,41.21701,87
Maine,now-cast,Ipsos,9/30/2016,10/20/2016,47.76,38.69,45.72667,39.65018,16
Pennsylvania,now-cast,Public Policy Polling,6/3/2016,6/5/2016,41.0,40.0,43.57731,44.35196,67
Missouri,now-cast,Ipsos,9/2/2016,9/15/2016,35.77,53.43,35.35223,53.72733,115
Illinois,now-cast,Southern Illinois University,9/27/2016,10/2/2016,53.2,28.4,53.30546,32.67315,102
Maryland,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,44.15,25.86,51.68745,35.40363,24
Iowa,now-cast,SurveyMonkey,10/28/2016,11/3/2016,37.0,47.0,35.68676,46.82606,99
Wyoming,now-cast,DFM Research,9/6/2016,9/11/2016,19.0,54.0,21.14712,58.52647,23
Nevada,now-cast,Emerson College,11/4/2016,11/5/2016,46.8,45.6,46.8018,43.48163,17
Maryland,now-cast,ABC News/Washington Post,9/27/2016,9/30/2016,63.0,27.0,62.72358000000001,28.720990000000004,24
Iowa,now-cast,Ipsos,9/16/2016,10/6/2016,44.43,46.18,43.87684,46.71794000000001,99
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,45.0,41.0,45.65074,41.6981,10
Missouri,now-cast,Remington,10/23/2016,10/25/2016,39.0,50.0,38.89727,50.42717,115
Indiana,now-cast,SurveyMonkey,10/27/2016,11/2/2016,36.0,51.0,34.658359999999995,50.96682,92
Colorado,now-cast,Emerson College,10/28/2016,10/31/2016,44.0,41.0,44.21969,39.59914000000001,64
Nevada,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,27.78,35.62,35.49093,44.45768,17
Arizona,now-cast,HighGround,10/14/2016,10/14/2016,38.5,36.5,39.76777,40.96175,15
North Carolina,now-cast,CNN/Opinion Research Corp.,10/10/2016,10/15/2016,48.0,47.0,47.30938,47.60246,100
West Virginia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,27.0,57.0,25.67256,56.65783,55
Maine CD-1,now-cast,Emerson College,9/2/2016,9/5/2016,52.0,30.1,54.9893,32.2835,
Arkansas,now-cast,Ipsos,8/5/2016,8/25/2016,39.49,47.65,39.17353,49.21376,75
South Carolina,now-cast,Public Policy Polling,8/9/2016,8/10/2016,39.0,41.0,41.00206,45.22701,46
Utah,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,28.64,34.24,35.40457,43.02278,29
Maryland,now-cast,Ipsos,7/29/2016,8/18/2016,52.87,29.37,52.75587,31.2239,24
Indiana,now-cast,Ipsos,10/28/2016,11/3/2016,37.96,52.81,36.19898,51.11028,92
Illinois,now-cast,Ipsos,10/7/2016,10/13/2016,60.31,27.44,59.18042,28.8704,102
Virginia,now-cast,Ipsos,10/31/2016,11/6/2016,45.9,41.11,45.29952,40.26126,134
North Carolina,now-cast,"National Research, Inc.",5/21/2016,5/23/2016,36.0,39.0,38.6576,43.45545,100
Mississippi,now-cast,Ipsos,9/2/2016,9/22/2016,37.59,49.94,38.04066,50.91476,82
South Dakota,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,29.92,41.88,35.27071,49.76567,66
Oklahoma,now-cast,SurveyMonkey,10/20/2016,10/28/2016,30.0,57.0,28.56388,58.20275,77
Ohio,now-cast,The Times-Picayune/Lucid,10/7/2016,10/10/2016,44.0,39.0,44.82153,44.59077,88
North Carolina,now-cast,Public Policy Polling,1/18/2016,1/19/2016,43.0,45.0,41.49343,45.56405,100
Kentucky,now-cast,Western Kentucky University,10/25/2016,10/30/2016,37.0,54.0,36.31522,54.37144,120
Texas,now-cast,Ipsos,10/14/2016,10/20/2016,39.04,52.23,37.61504,53.31562,254
Nevada,now-cast,SurveyMonkey,10/24/2016,10/30/2016,43.0,43.0,41.64864,43.64482,17
Utah,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,25.94,27.88,33.77867,37.45497,29
South Carolina,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,30.53,39.13,37.95473,47.58406,46
Georgia,now-cast,SurveyMonkey,8/9/2016,9/1/2016,39.0,40.0,40.9072,44.96368,159
Virginia,now-cast,Ipsos,10/27/2016,11/2/2016,48.05,42.13,47.35635,41.69325,134
North Carolina,now-cast,Suffolk University,9/5/2016,9/7/2016,41.0,44.0,43.40923,47.37684,100
Ohio,now-cast,RABA Research,6/22/2016,6/28/2016,41.0,38.0,41.94815,40.60102,88
Washington,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,41.52,25.56,49.52384,35.03517,39
New York,now-cast,Ipsos,9/30/2016,10/6/2016,54.76,31.07,54.29954,32.57498,62
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,45.0,44.0,45.58556,44.58032,67
Pennsylvania,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,39.02,38.79,44.35498,46.46226,67
New York,now-cast,Ipsos,8/12/2016,8/18/2016,51.99,29.64,52.25117,31.86398,62
Kansas,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,38.59,29.67,44.03337,38.22515,105
California,now-cast,Ipsos,9/9/2016,9/15/2016,62.5,24.22,62.70033000000001,25.08312,58
Washington,now-cast,Ipsos,8/26/2016,9/8/2016,45.05,37.02,45.06541,38.13007,39
California,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,40.62,27.65,48.28344,37.41246,58
North Dakota,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,20.62,41.81,28.5159,51.97616,53
Tennessee,now-cast,SurveyMonkey,10/17/2016,10/25/2016,38.0,49.0,36.55521,50.68748,95
Hawaii,now-cast,SurveyMonkey,10/30/2016,11/6/2016,52.0,29.0,50.6398,28.43225,5
Arizona,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,40.95,35.97,46.28975,41.48929,15
Georgia,now-cast,SurveyMonkey,10/18/2016,10/26/2016,44.0,46.0,42.53629,47.34858,159
Rhode Island,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,44.22,18.48,52.37044,29.08823,5
California,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,43.37,26.36,51.11007,35.23674000000001,58
Wisconsin,now-cast,Marquette University,8/4/2016,8/7/2016,47.0,34.0,49.18409000000001,38.71218,72
Arizona,now-cast,YouGov,8/2/2016,8/5/2016,42.0,44.0,44.92398,48.44501,15
North Carolina,now-cast,Ipsos,8/26/2016,9/8/2016,45.98,44.7,46.01646,45.64675,100
Maine,now-cast,Ipsos,9/2/2016,9/22/2016,39.71,38.19,39.24711,38.49704000000001,16
New Hampshire,now-cast,Vox Populi Communications,8/7/2016,8/8/2016,41.0,31.0,45.03951,39.26359,10
Maine CD-2,now-cast,Maine People's Resource Center,10/7/2016,10/9/2016,38.8,40.4,40.58156,44.185,
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/22/2016,46.0,42.0,46.48827,44.56948,17
Kansas,now-cast,Remington,8/22/2016,8/23/2016,37.0,44.0,39.31393,46.7785,105
Montana,now-cast,Ipsos,8/26/2016,9/15/2016,39.04,52.31,37.52188,51.74633,56
Connecticut,now-cast,Ipsos,10/7/2016,10/27/2016,51.05,36.25,49.41618,37.43133,8
Minnesota,now-cast,SurveyMonkey,10/24/2016,10/30/2016,47.0,38.0,45.66031,38.70498,87
Massachusetts,now-cast,Ipsos,10/21/2016,11/2/2016,50.89,33.42,49.67913,33.37186,14
Ohio,now-cast,Quinnipiac University,8/29/2016,9/7/2016,37.0,41.0,39.88617,43.63415,88
Maine,now-cast,SurveyMonkey,10/20/2016,10/28/2016,51.0,36.0,49.59951,37.58323,16
Virginia,now-cast,Quinnipiac University,8/9/2016,8/16/2016,45.0,34.0,47.52029,37.24171,134
Maine,now-cast,Ipsos,8/5/2016,8/25/2016,38.78,39.83,38.11095,41.40418,16
Nebraska,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,27.38,40.91,35.22255999999999,50.15506,93
Missouri,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,34.15,30.38,40.12729,39.06653,115
Delaware,now-cast,SurveyMonkey,11/1/2016,11/7/2016,50.0,39.0,48.54802,38.36313,3
Maine,now-cast,SurveyMonkey,10/26/2016,11/1/2016,49.0,37.0,47.70331,37.35854000000001,16
Georgia,now-cast,Ipsos,10/7/2016,10/20/2016,40.91,49.4,39.42551,50.31358,159
New Mexico,now-cast,Zia Poll,10/24/2016,10/24/2016,45.0,40.0,44.24478,40.01315,33
Washington,now-cast,Elway Research,8/9/2016,8/13/2016,45.0,24.0,45.0991,27.519040000000004,39
Ohio,now-cast,Gravis Marketing,9/22/2016,9/23/2016,42.0,43.0,44.04521,45.35446,88
Michigan,now-cast,Mitchell Research & Communications,11/6/2016,11/6/2016,47.0,41.0,45.42407,39.71012,83
Oregon,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,37.6,30.6,43.05743,37.26685,36
Tennessee,now-cast,Ipsos,8/12/2016,8/25/2016,32.71,45.65,32.81523,47.40561,95
Virginia,now-cast,Roanoke College,8/7/2016,8/17/2016,48.0,32.0,49.88524,37.83382,134
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/26/2016,10/30/2016,44.0,42.0,44.56834,43.18838,67
Nevada,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,42.0,42.0,43.36509,45.50625,17
Louisiana,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,23.53,49.56,30.98987,58.5469,64
Arizona,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,37.46,32.1,45.08501,40.73619,15
New Mexico,now-cast,Ipsos,8/26/2016,9/15/2016,37.79,43.19,34.74642,41.06766,33
Florida,now-cast,Marist College,8/4/2016,8/10/2016,41.0,36.0,42.96875,42.58892,67
Arkansas,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,31.49,36.09,36.92052,42.64127,75
Massachusetts,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,50.2,22.82,57.21923,32.1379,14
Michigan,now-cast,SurveyMonkey,11/1/2016,11/7/2016,44.0,42.0,42.55152,41.36494,83
Texas,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,28.76,39.7,36.39029,48.42959000000001,254
Florida,now-cast,Trafalgar Group,11/6/2016,11/6/2016,46.13,49.72,45.76571,46.79303,67
Georgia,now-cast,Landmark Communications,7/24/2016,7/24/2016,44.2,45.5,45.63765,48.62222,159
Nebraska,now-cast,SurveyMonkey,10/18/2016,10/26/2016,32.0,51.0,30.56015,52.67222,93
Alaska,now-cast,Lake Research Partners,8/9/2016,8/14/2016,30.0,38.0,32.77616,44.74673,29
