State,Poll Type,Clinton,Trump,Clinton Adjusted,Trump Adjusted
South Carolina,now-cast,43.0,47.0,41.53149000000001,46.35461
Florida,now-cast,43.0,45.0,43.2967,46.69683
Nevada,now-cast,48.0,45.0,46.3848,43.44663
Michigan,now-cast,42.0,38.0,43.58539,39.35814
Oregon,now-cast,50.0,35.0,48.56203,34.37036
Pennsylvania,now-cast,46.0,39.0,46.36182,41.8756
Nevada,now-cast,46.8,45.6,46.8018,43.48163
Missouri,now-cast,39.0,53.0,38.31548,51.30598
Utah,now-cast,31.0,34.0,29.55618,33.36734000000001
New Hampshire,now-cast,41.0,43.0,41.16734,42.62373
California,now-cast,54.0,28.0,55.99313000000001,30.1221
Ohio,now-cast,48.0,47.0,46.04775,45.69439000000001
Tennessee,now-cast,41.0,49.0,39.5452,48.36168
Washington,now-cast,51.0,33.0,49.56419,32.37147
Colorado,now-cast,42.0,39.0,42.88837,40.34286
Arizona,now-cast,42.0,44.0,42.87845,45.29172
Iowa,now-cast,41.0,44.0,41.20044,42.09328
North Carolina,now-cast,48.0,45.0,48.85305,46.16077
Connecticut,now-cast,52.0,36.0,50.56337,35.37104
Massachusetts,now-cast,56.0,30.0,54.58373,29.38155
New Jersey,now-cast,52.0,37.0,50.55473,36.36659
Colorado,now-cast,43.0,38.0,42.93507,39.13824
Missouri,now-cast,40.0,48.0,38.54503,47.36159
Kansas,now-cast,38.0,49.0,36.97892,48.75118
Kentucky,now-cast,35.0,54.0,33.54599,53.36208000000001
Kansas,now-cast,36.0,49.0,34.5558,48.36715
Minnesota,now-cast,46.0,39.0,44.55759000000001,38.36807
Florida,now-cast,48.4,46.4,47.53599000000001,45.8096
Oklahoma,now-cast,32.0,57.0,30.54268,56.360380000000006
New Mexico,now-cast,45.0,40.0,45.88651,40.17503
Nevada,now-cast,45.01,49.61,44.87482,46.82064
Texas,now-cast,34.5,49.2,34.68858,47.39611
Pennsylvania,now-cast,48.0,43.0,48.55542,42.60515
Maryland,now-cast,59.0,28.0,57.54366,27.36088
Nevada,now-cast,45.0,43.0,43.55026,42.36429
New Hampshire,now-cast,44.0,44.0,44.64148,44.25513
Arizona,now-cast,41.0,42.0,41.43441,44.97258
Ohio,now-cast,40.0,43.0,40.17032,44.47387
Colorado,now-cast,44.77,44.33,44.69017,41.65818
Indiana,now-cast,37.0,48.0,37.37743,49.45787
Alabama,now-cast,36.0,55.0,34.52791,54.35276
Ohio,now-cast,41.0,46.0,41.5668,45.63366
Virginia,now-cast,49.0,45.0,49.18567,43.74928
Pennsylvania,now-cast,45.0,43.0,45.46416,43.6171
Colorado,now-cast,44.0,41.0,44.21969,39.59914000000001
New Hampshire,now-cast,45.0,36.0,43.58333,38.97304000000001
New Jersey,now-cast,51.0,40.0,51.15983,39.75173
Nebraska,now-cast,35.0,52.0,33.55392,51.36617
Louisiana,now-cast,38.0,52.0,36.5317,51.35472
Maine,now-cast,46.0,42.0,46.2357,40.91833
Iowa,now-cast,44.0,44.0,44.46257,45.23578
Colorado,now-cast,44.0,37.0,44.44516,39.9995
Virginia,now-cast,44.0,39.0,44.78788,41.16042
Pennsylvania,now-cast,49.0,38.0,48.7482,40.7122
Arizona,now-cast,43.0,47.0,43.20894000000001,45.57221
Minnesota,now-cast,49.0,39.0,47.89844,39.66408
Arkansas,now-cast,32.0,56.0,30.54535,55.36176
Texas,now-cast,39.39,51.53,40.0686,51.50863
Alaska,now-cast,41.0,44.0,40.9413,43.38491
Virginia,now-cast,50.0,38.0,50.44657,39.0316
Nevada,now-cast,45.0,38.0,45.4286,40.95802
Nevada,now-cast,43.0,43.0,41.55157,45.54214
Texas,now-cast,43.0,46.0,43.77533,48.16567
Florida,now-cast,43.0,39.0,44.42868,42.82852000000001
Arizona,now-cast,44.0,47.0,44.59218,46.71708
Kentucky,now-cast,32.0,56.0,32.07512,55.25824
Florida,now-cast,48.0,44.0,47.08155,44.37571
New Hampshire,now-cast,39.0,40.0,39.49924,40.87957
Utah,now-cast,31.0,37.0,29.96991,36.69474
Georgia,now-cast,42.0,51.0,42.16977,49.47405
North Carolina,now-cast,44.16,49.13,44.06108,46.86808
Pennsylvania,now-cast,44.0,40.0,45.46445,41.87228
Georgia,now-cast,42.0,49.0,42.25624000000001,50.89946
Vermont,now-cast,52.0,26.0,51.23164000000001,27.44156
South Carolina,now-cast,36.0,47.0,37.15122,46.99748
Maine,now-cast,46.0,38.0,44.57411,37.37658
New Hampshire,now-cast,41.8,42.2,42.14843,42.6863
Pennsylvania,now-cast,46.0,46.0,45.62211,45.65585
Michigan,now-cast,47.0,41.0,45.42407,39.71012
Idaho,now-cast,23.0,52.0,21.06908,50.25003
North Carolina,now-cast,42.0,41.2,42.37309000000001,43.79011
New Mexico,now-cast,40.0,38.0,38.55618,37.36734000000001
Michigan,now-cast,44.0,44.0,44.44694000000001,42.6526
Pennsylvania,now-cast,48.0,44.0,46.96368,43.83392
Utah,now-cast,31.0,42.0,31.59025,42.78571
Pennsylvania,now-cast,44.0,46.0,44.47071,46.16703
Ohio,now-cast,44.0,43.0,44.47731,43.17043
North Carolina,now-cast,49.0,43.0,49.46535,43.16427
Nevada,now-cast,44.0,44.0,44.47794,44.17076
New Hampshire,now-cast,46.0,40.0,46.50859000000001,40.18656
Georgia,now-cast,43.0,44.0,43.43274,44.85516
Mississippi,now-cast,42.0,50.0,40.52377,49.35063
Florida,now-cast,47.0,45.0,47.47609,45.1698
Georgia,now-cast,42.0,44.0,42.31744000000001,47.12248
New Hampshire,now-cast,47.0,38.0,45.58091,37.38008
Missouri,now-cast,38.0,52.0,36.96754,52.03534000000001
Iowa,now-cast,44.2,43.4,45.05723,44.48302
Maine,now-cast,48.0,37.0,47.86515,40.60761
New Hampshire,now-cast,43.0,48.0,40.6348,44.56794
Virginia,now-cast,45.0,38.0,44.92306,40.00589
Missouri,now-cast,42.0,47.0,40.87522,48.38695
North Carolina,now-cast,48.0,45.0,48.161,44.10132
Colorado,now-cast,39.0,39.0,40.56307,40.02843
Indiana,now-cast,39.0,50.0,37.95703,50.24257
Idaho,now-cast,29.0,47.0,27.5571,46.36782
Wisconsin,now-cast,43.9,37.9,44.76474,39.1113
Utah,now-cast,24.0,33.0,25.37303,35.57558
Florida,now-cast,50.4,36.95,49.04995,41.27294000000001
Missouri,now-cast,38.0,47.0,37.75616,48.61004000000001
Kentucky,now-cast,24.8,38.2,31.09015,46.76224000000001
Florida,now-cast,48.0,40.0,48.16806,42.37432
Illinois,now-cast,51.2,36.1,50.57755,37.62995
Washington,now-cast,51.0,36.0,51.47499000000001,36.40573
California,now-cast,58.0,35.0,58.4688,35.4026
Georgia,now-cast,44.7,48.5,44.03848,48.03123
Arizona,now-cast,45.0,47.0,45.46955,47.40298
Colorado,now-cast,44.1,37.6,43.64336,37.29177
Illinois,now-cast,53.0,41.0,53.19176,39.76984
Arkansas,now-cast,31.3,51.1,31.07076,52.11427
Ohio,now-cast,44.15,48.54,44.00887,47.42719
Nevada,now-cast,45.0,45.0,45.1904,45.80051
Nevada,now-cast,48.0,41.0,47.16244,43.16212
Illinois,now-cast,45.0,34.0,45.83413,36.17527000000001
New Mexico,now-cast,39.0,31.0,39.4388,33.98357
Nevada,now-cast,42.0,42.0,42.46782,42.4021
Oregon,now-cast,41.0,34.0,42.85667,36.6034
Florida,now-cast,44.0,41.0,44.35984000000001,45.27408
Kentucky,now-cast,37.0,54.0,36.31522,54.37144
Florida,now-cast,42.4,45.7,42.60366,45.66733
Minnesota,now-cast,47.0,39.0,45.84295,41.21701
Texas,now-cast,38.0,45.0,38.00551,46.964
Utah,now-cast,24.0,32.0,23.33986,33.53805
Massachusetts,now-cast,56.0,26.0,54.47516,28.058770000000006
West Virginia,now-cast,29.0,56.0,27.55467,55.36656
South Dakota,now-cast,37.0,48.0,36.91095,49.23138
Pennsylvania,now-cast,48.0,43.0,48.16086,42.36038
South Dakota,now-cast,32.0,53.0,30.5582,52.36838
Vermont,now-cast,61.0,25.0,59.57499,24.37704
Washington,now-cast,48.0,31.0,48.41909,34.97858
Montana,now-cast,30.0,52.0,28.56147,51.37007
Idaho,now-cast,29.0,48.0,29.50792,50.18386
Massachusetts,now-cast,57.0,25.0,57.28423000000001,27.23568
New Hampshire,now-cast,43.0,38.0,43.84959,41.17521
Florida,now-cast,46.0,45.0,46.17809000000001,44.1894
Maine,now-cast,42.0,37.0,43.20491,39.14787000000001
Hawaii,now-cast,52.0,28.0,50.5699,27.37441
North Carolina,now-cast,46.0,39.0,46.34085,42.11232
Montana,now-cast,36.0,46.0,35.21595999999999,49.21729000000001
Maine CD-1,now-cast,48.8,42.5,49.04522,41.45049
Maine CD-2,now-cast,43.6,42.2,43.82511,41.08253
Rhode Island,now-cast,48.0,36.0,46.58508,35.38224
Pennsylvania,now-cast,48.0,39.0,48.77966,41.74704000000001
Nebraska CD-1,now-cast,29.0,53.0,27.48652,50.59451
Nebraska CD-3,now-cast,20.0,65.0,18.47001,62.66177
New Hampshire,now-cast,46.0,42.0,44.91302,43.7255
Alaska,now-cast,31.0,48.0,29.56316,47.37094
Michigan,now-cast,50.0,43.0,50.17392,42.44155
Maine CD-2,now-cast,39.0,39.0,37.22212,39.537
Louisiana,now-cast,34.0,54.0,32.86522,56.19696999999999
Alaska,now-cast,38.0,39.0,43.44551,46.14617
North Carolina,now-cast,48.0,47.0,47.30938,47.60246
Arizona,now-cast,45.0,46.0,43.86485,47.5759
Florida,now-cast,46.0,45.0,46.5647,44.6284
Ohio,now-cast,44.0,48.0,43.33893,48.84102
Nevada,now-cast,46.0,40.0,47.01972,43.22078
North Carolina,now-cast,47.0,44.0,47.54619,43.58202
Delaware,now-cast,50.0,39.0,48.54802,38.36313
Idaho,now-cast,29.0,41.0,34.43622,48.08837
Wisconsin,now-cast,48.0,42.0,48.19468,41.03462
Ohio,now-cast,41.0,42.0,39.89943,45.55456
North Carolina,now-cast,47.0,46.0,45.84912,47.50375
Wisconsin,now-cast,47.0,39.0,47.02428,42.28467
North Carolina,now-cast,42.0,41.0,42.35685,45.91627
Indiana,now-cast,39.0,49.0,39.12321,48.83372
Colorado,now-cast,45.0,37.0,45.71617,39.43172
Florida,now-cast,47.66,46.77,47.65693,46.51642
Vermont,now-cast,50.0,22.0,49.87583,25.162
Texas,now-cast,38.0,41.0,38.22837,44.97123
California,now-cast,47.88,26.4,53.21829,31.91853
Texas,now-cast,43.0,47.0,42.20728,48.8199
Florida,now-cast,45.0,39.0,45.37186,44.103
Virginia,now-cast,43.0,38.0,43.36613,43.0317
North Dakota,now-cast,29.0,57.0,27.56788,56.37337
District of Columbia,now-cast,85.0,7.0,83.58521999999998,6.382311
North Carolina,now-cast,44.0,42.0,44.53013,45.4915
Oregon,now-cast,48.0,38.0,47.26081,40.16486
Florida,now-cast,36.53,41.36,41.86452,46.87659
Nevada,now-cast,43.0,43.0,41.93835,43.95367
New York,now-cast,39.83,33.29,45.16801,38.80839
Illinois,now-cast,38.27,31.55,43.60405,37.06635
Maine CD-2,now-cast,43.0,40.0,42.85863,43.52451
Oklahoma,now-cast,29.6,59.6,28.754590000000004,60.46314
California,now-cast,58.85,31.74,58.38075,31.01818
Texas,now-cast,32.29,42.48,37.62109,47.99482
Pennsylvania,now-cast,37.69,37.29,43.01914,42.80382
New Hampshire,now-cast,42.9,44.6,44.32709000000001,43.83173
Georgia,now-cast,44.0,40.0,44.34739,44.79866
Maine CD-1,now-cast,44.9,33.4,46.11254,35.60985
Ohio,now-cast,35.03,38.18,40.36574,43.69722
Maine CD-1,now-cast,54.0,34.0,53.87099,37.68224
Pennsylvania,now-cast,45.0,39.0,46.37161,42.73928
New Jersey,now-cast,39.37,32.57,44.71085,38.08986
Texas,now-cast,39.3,48.75,38.62278,47.82417
South Dakota,now-cast,35.0,49.0,34.96202,50.4999
Pennsylvania,now-cast,48.0,40.0,48.86157,41.2047
Nebraska CD-2,now-cast,40.0,44.0,41.36843,48.5521
Wisconsin,now-cast,43.17,31.05,48.51255,36.57074
Georgia,now-cast,46.0,48.0,45.14022,47.56899
Louisiana,now-cast,35.0,50.0,35.41375,52.02594000000001
Alaska,now-cast,47.0,43.0,44.80732,44.78874
Kansas,now-cast,34.0,58.0,33.46328,55.29952
California,now-cast,56.0,30.0,55.07428,31.85975
Ohio,now-cast,45.0,45.0,45.24725,47.93431
Michigan,now-cast,35.18,34.05,40.51764,39.5682
New Jersey,now-cast,47.78,37.86,47.81228,37.6383
North Carolina,now-cast,35.03,40.65,40.35378,46.16106
Indiana,now-cast,33.93,36.45,39.25919,41.96385
New York,now-cast,51.49,33.0,51.27067,32.52825
Ohio,now-cast,47.04,46.0,46.19968,44.90851
Virginia,now-cast,39.32,31.71,44.65042,37.22448
Colorado,now-cast,44.0,34.0,44.80798,39.0405
Florida,now-cast,46.2,43.3,46.85445,44.61389000000001
North Carolina,now-cast,46.0,44.0,45.00879000000001,45.5139
Virginia,now-cast,45.9,41.11,45.29952,40.26126
Maine CD-2,now-cast,38.0,41.4,39.19642,43.47887
Massachusetts,now-cast,54.0,28.0,54.55929,32.10495
Wisconsin,now-cast,47.0,40.0,45.96408,42.47353
Missouri,now-cast,37.3,35.44,42.63115,40.95485
Michigan,now-cast,41.0,34.0,42.4876,37.32471
Minnesota,now-cast,35.35,31.38,40.69371,36.90133
Pennsylvania,now-cast,47.0,38.0,47.79448,43.4574
Louisiana,now-cast,40.0,43.0,40.3485,47.81252
Arizona,now-cast,40.95,35.97,46.28975,41.48929
Washington,now-cast,42.67,30.43,48.02031,35.95473
Nevada,now-cast,47.0,40.0,45.97942000000001,42.46658
Pennsylvania,now-cast,48.2,45.19,47.64152,44.38397
Colorado,now-cast,47.11,29.95,52.45598,35.4725
Michigan,now-cast,41.0,36.0,43.48886,40.19152
Illinois,now-cast,51.3,39.08,50.8302,38.35996
Arkansas,now-cast,32.5,56.0,31.5007,56.9281
North Carolina,now-cast,44.0,43.0,45.45012,45.54683
South Dakota,now-cast,37.0,44.0,35.87193,46.52328
Georgia,now-cast,37.71,41.45,43.02702,46.95757
Minnesota,now-cast,43.9,36.0,42.51968,34.70112
Pennsylvania,now-cast,49.0,37.0,48.34179,40.3967
Ohio,now-cast,44.0,39.0,44.82153,44.59077
New York,now-cast,54.0,30.0,54.51709,34.17471
Wisconsin,now-cast,43.0,39.0,44.56252,42.37625
Washington,now-cast,53.0,39.0,52.23818,40.51699
Ohio,now-cast,43.2,34.4,45.55789,39.80239
Massachusetts,now-cast,47.84,25.89,53.20985,31.4248
Wisconsin,now-cast,45.92,39.99,45.22992,39.37977
Indiana,now-cast,37.0,43.0,37.79469,48.45847
Arizona,now-cast,42.38,47.1,41.38765,46.1836
Georgia,now-cast,42.38,47.79,41.65949000000001,46.8286
Virginia,now-cast,41.0,44.0,41.58135,43.9702
Louisiana,now-cast,35.0,49.0,35.34134,51.42303
Maryland,now-cast,44.82,31.28,50.14977,36.79414000000001
Washington,now-cast,46.72,38.48,45.81892,37.66954000000001
Oregon,now-cast,44.95,26.36,50.29815,31.88362
Tennessee,now-cast,34.21,44.33,39.54131,49.84494
Tennessee,now-cast,36.33,49.76,35.9154,49.40963
Alabama,now-cast,20.23,60.67,25.54403,66.17603000000001
Colorado,now-cast,47.71,42.33,46.015,40.7196
Kentucky,now-cast,31.9,43.89,37.23211,49.40535
Kansas,now-cast,36.0,47.0,35.12663,48.99287
Nevada,now-cast,45.0,39.0,45.57941,43.58649000000001
Wyoming,now-cast,21.0,60.0,19.55778,59.36816
North Carolina,now-cast,46.0,46.9,45.54333,46.19873
Wisconsin,now-cast,48.0,43.0,47.90447,44.92164
Massachusetts,now-cast,53.14,35.79,52.18049,34.560590000000005
Iowa,now-cast,35.57,33.72,40.91593,39.24248
Ohio,now-cast,44.0,43.0,44.21312,45.61138
Missouri,now-cast,37.0,52.0,37.19412,50.53506
Virginia,now-cast,47.0,38.0,47.20939,40.08825
South Carolina,now-cast,31.91,45.52,37.22761,51.02788
Arizona,now-cast,43.4,37.8,43.66778,42.47806
Maryland,now-cast,55.69,33.6,55.16245,33.13455
West Virginia,now-cast,31.0,58.0,29.44791,59.41112
North Carolina,now-cast,45.0,41.0,43.86192,44.31281
Connecticut,now-cast,38.62,29.29,43.96948,34.81431
Iowa,now-cast,41.0,37.0,41.86328,42.7966
Oregon,now-cast,46.72,37.04,45.62287,36.03049
Oregon,now-cast,46.0,36.0,46.59832,39.13118
Indiana,now-cast,37.0,43.0,37.4152,46.21149000000001
Alaska,now-cast,36.0,37.0,36.76974000000001,42.53105
Michigan,now-cast,45.95,44.53,44.82088,43.14866
Illinois,now-cast,50.0,31.5,49.89721,33.8241
Wyoming,now-cast,20.0,58.0,21.19835,60.5841
Louisiana,now-cast,38.0,45.0,39.59782,49.96782
Florida,now-cast,46.0,42.0,46.8121,44.71899000000001
Nebraska CD-2,now-cast,40.0,49.0,39.29568,47.39163
Kansas,now-cast,41.28,31.0,46.62192,36.5204
Indiana,now-cast,37.79,53.68,36.07887,51.72129
Michigan,now-cast,42.2,30.6,43.97041,35.37768
Vermont,now-cast,45.0,17.0,47.70709,22.434520000000006
Missouri,now-cast,39.73,48.01,38.67257,47.01657
Kentucky,now-cast,37.64,58.29,37.13481,57.85014
Florida,now-cast,46.0,43.0,46.77888,45.21392
Ohio,now-cast,45.0,45.0,45.18002,44.19941
Maryland,now-cast,63.0,27.0,62.72358000000001,28.720990000000004
Indiana,now-cast,41.0,45.0,40.129,47.55305
Nevada,now-cast,44.0,42.0,44.18103,41.20461
Pennsylvania,now-cast,47.0,41.0,47.67455,43.09572
Illinois,now-cast,53.2,28.4,53.30546,32.67315
Louisiana,now-cast,21.92,53.7,27.237820000000006,59.207980000000006
North Carolina,now-cast,44.8,43.4,45.29825,46.56168
Florida,now-cast,49.0,46.0,49.13238,45.85029
Georgia,now-cast,43.1,45.8,43.65792,46.77272
Connecticut,now-cast,49.76,39.7,48.82711,38.85659
North Carolina,now-cast,47.0,44.0,46.456,45.43528
Pennsylvania,now-cast,47.0,45.0,47.10618,44.56887
Arizona,now-cast,39.0,47.0,39.77909,46.91888
Utah,now-cast,28.0,34.0,27.14237,36.61366
Ohio,now-cast,41.0,38.0,42.66098,42.20634
Ohio,now-cast,45.0,45.0,45.69086,47.22743
Wisconsin,now-cast,50.0,38.0,48.03424,38.66736
Mississippi,now-cast,25.02,52.3,30.32989,57.80389
Alabama,now-cast,38.06,54.15,37.55526,53.6855
Tennessee,now-cast,34.0,44.0,35.82181,49.43195
Colorado,now-cast,40.0,40.0,40.13337,39.59326
Pennsylvania,now-cast,45.0,41.0,45.13887,41.60904
Louisiana,now-cast,36.12,51.56,35.72567,51.98438
Florida,now-cast,46.0,42.0,45.70338,44.55612
Nevada,now-cast,46.0,44.0,45.3405,44.85367
Texas,now-cast,36.8,44.7,37.57941,47.00341
Nevada,now-cast,47.0,43.0,44.70022,43.5189
Pennsylvania,now-cast,47.0,46.0,47.12312,45.83356
Nebraska,now-cast,30.33,41.35,35.67004,46.86943
California,now-cast,51.8,30.4,52.58706,32.81075
Oklahoma,now-cast,29.85,60.78,27.85815,59.67941999999999
Indiana,now-cast,38.0,49.0,38.01339,50.43657
Missouri,now-cast,41.0,46.0,40.27732,48.59827
New Mexico,now-cast,42.52,29.93,47.86229,35.4506
Nevada,now-cast,36.02,37.99,41.35638,43.50755
California,now-cast,61.0,25.0,59.76103000000001,29.61529
Iowa,now-cast,44.07,43.87,42.84671,43.65131
Illinois,now-cast,48.3,33.1,49.08255,35.44754000000001
New York,now-cast,52.7,31.4,53.48676,33.80659
Arizona,now-cast,38.5,36.5,39.76777,40.96175
Oklahoma,now-cast,26.74,43.34,32.06879,48.85364000000001
Pennsylvania,now-cast,42.7,41.2,43.47734000000001,43.47432
Florida,now-cast,44.0,42.9,44.78306,45.25459
Ohio,now-cast,43.2,41.5,43.98436,43.87279
Virginia,now-cast,46.1,37.0,46.8787,39.29344
New Jersey,now-cast,47.7,35.7,48.48978,38.14899000000001
Texas,now-cast,42.0,45.0,42.8056,47.57811
North Carolina,now-cast,43.5,41.3,44.27165,43.49443
Massachusetts,now-cast,51.3,28.6,52.12057,31.48149
Michigan,now-cast,47.0,28.0,47.54474,33.76388
Michigan,now-cast,42.0,36.0,42.78637,38.40105
Nevada,now-cast,44.0,41.0,45.61799,43.98474
Kansas,now-cast,38.22,54.45,36.21171,53.41978
Indiana,now-cast,36.6,43.8,37.3774,46.0751
Minnesota,now-cast,42.3,35.9,43.09282,38.39164
Tennessee,now-cast,33.9,48.3,34.67965,50.60673
Georgia,now-cast,40.5,45.4,41.26447,47.49355
Maryland,now-cast,55.0,29.2,55.77802,31.48376
Washington,now-cast,47.4,31.7,48.19983,34.29007
New Jersey,now-cast,49.0,35.0,48.8884,38.04483
Tennessee,now-cast,33.0,44.0,35.89319000000001,48.94223
Missouri,now-cast,35.8,43.3,36.57948,45.60426
Wisconsin,now-cast,42.2,37.7,42.99159,40.17443
North Carolina,now-cast,49.0,47.0,49.08549,47.80913
South Carolina,now-cast,43.61,49.43,43.24576,49.11098
Utah,now-cast,20.0,37.0,20.953470000000006,40.14447
Alabama,now-cast,31.6,52.6,32.361290000000004,54.6489
Louisiana,now-cast,35.9,47.3,36.66532,49.40543
Florida,now-cast,46.0,42.0,46.3821,44.75955
Arizona,now-cast,37.8,46.3,38.58861,48.73254
Colorado,now-cast,42.1,36.9,42.89523,39.42554000000001
Virginia,now-cast,45.0,37.0,47.79709,39.80772
Arkansas,now-cast,38.14,53.35,37.16685,53.2858
Virginia,now-cast,50.0,32.0,49.90215,34.82403
Nevada,now-cast,45.39,42.15,44.12296,41.82438
Arkansas,now-cast,30.81,46.85,36.14146,52.36502
New Mexico,now-cast,46.0,33.0,46.29602,34.91012
Kentucky,now-cast,32.2,52.2,32.98049,54.51855
South Carolina,now-cast,35.6,46.6,36.3651,48.70242
Maine,now-cast,42.33,35.08,40.8143,33.89856
Florida,now-cast,45.0,42.0,44.47362,45.49109
Rhode Island,now-cast,52.0,32.0,53.37716999999999,33.84406
Idaho,now-cast,30.38,34.5,35.72322,40.02108
Montana,now-cast,34.62,34.96,39.96759,40.48333
Oregon,now-cast,43.8,36.0,44.59753,38.55791
Iowa,now-cast,40.4,37.3,41.19518,39.82477
Connecticut,now-cast,46.6,35.8,47.39895,38.37777
