State,Pollster,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Winner
Mississippi,Google Consumer Surveys,24.312142857142852,51.46714285714286,30.72870071428572,59.46130142857143,Trump
Mississippi,SurveyMonkey,41.333333333333336,48.66666666666666,40.1841575,49.25438916666667,Trump
Missouri,Google Consumer Surveys,36.19785714285714,32.575714285714284,42.80362,40.95875214285713,Clinton
Missouri,SurveyMonkey,38.333333333333336,47.5,37.23824916666667,48.261965,Trump
Montana,Google Consumer Surveys,31.414285714285718,34.44571428571429,38.166377857142855,43.12950142857142,Trump
Montana,SurveyMonkey,33.75,50.58333333333334,32.69674833333334,51.4800525,Trump
Nebraska,Google Consumer Surveys,28.326428571428572,39.57214285714286,35.01130785714285,48.117782857142856,Trump
Nebraska,SurveyMonkey,33.25,50.83333333333334,32.177532500000005,51.668152500000005,Trump
Nevada,Google Consumer Surveys,34.785000000000004,34.830714285714286,41.437301428571416,43.309400714285715,Trump
Nevada,SurveyMonkey,42.769230769230774,42.92307692307692,41.68166307692308,43.86890000000001,Trump
New Hampshire,Google Consumer Surveys,40.919285714285714,28.71,47.844306428571436,37.74920928571429,Clinton
New Hampshire,SurveyMonkey,47.230769230769226,36.307692307692314,46.22167153846154,37.53288538461539,Clinton
New Jersey,Google Consumer Surveys,39.16142857142857,32.437142857142874,45.853545714285715,40.99766785714286,Clinton
New Jersey,SurveyMonkey,53.33333333333334,35.833333333333336,52.26293500000001,36.67482250000001,Clinton
New Mexico,Google Consumer Surveys,38.59,27.01285714285714,45.29495142857144,35.599759285714285,Clinton
New Mexico,SurveyMonkey,41.307692307692314,34.384615384615394,40.23527307692307,35.38437538461538,Clinton
New York,Google Consumer Surveys,41.81642857142858,29.47642857142857,48.48325142857142,37.98496357142858,Clinton
New York,SurveyMonkey,56.75,32.0,55.67237083333333,32.81819666666667,Clinton
North Carolina,Google Consumer Surveys,33.75071428571429,38.847142857142856,40.29094214285715,47.09548785714285,Trump
North Carolina,SurveyMonkey,47.153846153846146,41.92307692307692,46.03403307692307,42.754096153846156,Clinton
North Dakota,Google Consumer Surveys,21.946428571428577,45.88928571428572,28.755512857142854,54.69020500000001,Trump
North Dakota,SurveyMonkey,30.08333333333333,54.16666666666666,29.046372499999997,55.11586916666667,Trump
Ohio,Google Consumer Surveys,32.29571428571428,35.442142857142855,38.942367857142855,43.909226428571436,Trump
Ohio,SurveyMonkey,40.692307692307686,44.69230769230769,39.60311615384615,45.632347692307704,Trump
Oklahoma,Google Consumer Surveys,27.852857142857143,41.885,34.43765785714286,50.22495142857144,Trump
Oklahoma,SurveyMonkey,30.91666666666667,55.41666666666666,29.81558916666667,56.15932583333333,Trump
Oregon,Google Consumer Surveys,43.573571428571434,26.794285714285714,50.330684999999995,35.488394285714286,Clinton
Oregon,SurveyMonkey,50.58333333333334,34.75,49.53151416666668,35.65134250000001,Clinton
Pennsylvania,Google Consumer Surveys,36.87500000000001,35.67071428571428,43.462897142857145,44.017031428571435,Trump
Pennsylvania,SurveyMonkey,46.769230769230774,41.615384615384606,45.66313384615386,42.49523461538463,Clinton
Rhode Island,Google Consumer Surveys,43.576428571428565,25.73857142857143,50.53857571428572,34.854088571428576,Clinton
Rhode Island,SurveyMonkey,48.08333333333334,36.333333333333336,47.09013333333333,37.423496666666665,Clinton
South Carolina,Google Consumer Surveys,30.404285714285717,41.88928571428571,36.88961428571428,50.02479142857143,Trump
South Carolina,SurveyMonkey,42.66666666666666,45.83333333333334,41.53715166666667,46.48438583333333,Trump
South Dakota,Google Consumer Surveys,29.62142857142857,36.83285714285713,36.34439785714285,45.45678857142857,Trump
South Dakota,SurveyMonkey,29.91666666666667,52.08333333333334,28.855090000000004,52.95323333333334,Trump
Tennessee,Google Consumer Surveys,28.74357142857143,44.171428571428564,35.350809285714284,52.55749928571429,Trump
Tennessee,SurveyMonkey,38.833333333333336,50.0,37.73867166666667,50.76332416666667,Trump
Texas,Google Consumer Surveys,31.325,40.86642857142857,37.930254999999995,49.248420714285714,Trump
Texas,SurveyMonkey,41.307692307692314,46.0,40.206587692307686,46.89763153846154,Trump
Utah,Google Consumer Surveys,24.78,28.578,31.48091066666666,37.291634,Trump
Utah,SurveyMonkey,29.66666666666667,33.333333333333336,28.577898333333334,34.13366666666668,Trump
Vermont,Google Consumer Surveys,51.261428571428574,17.377142857142857,58.133775714285704,26.308095000000005,Clinton
Vermont,SurveyMonkey,54.58333333333334,24.75,53.56446083333334,25.75746583333333,Clinton
Virginia,Google Consumer Surveys,38.74928571428571,31.02,45.34859214285715,39.38977,Clinton
Virginia,SurveyMonkey,48.07692307692307,38.92307692307692,46.97410923076922,39.81461692307692,Clinton
Washington,Google Consumer Surveys,43.1,26.61857142857143,49.87629928571429,35.352112857142856,Clinton
Washington,SurveyMonkey,51.33333333333334,33.666666666666664,50.28700083333334,34.585679999999996,Clinton
West Virginia,Google Consumer Surveys,26.700714285714287,45.993571428571435,33.392266428571425,54.55292928571429,Trump
West Virginia,SurveyMonkey,27.75,57.66666666666666,26.679440000000003,58.50763500000002,Trump
Wisconsin,Google Consumer Surveys,41.497142857142855,27.55357142857143,48.20444500000001,36.14530571428571,Clinton
Wisconsin,SurveyMonkey,43.46153846153846,41.384615384615394,42.3897976923077,42.386783846153854,Clinton
Wyoming,Google Consumer Surveys,21.622857142857146,47.43571428571429,28.34208071428571,56.05194642857143,Trump
Wyoming,SurveyMonkey,22.33333333333333,60.08333333333334,21.27068583333333,60.94978333333334,Trump
